timestamp,id,topic,method,norm_pos,diameter,confidence,sphere,projected_sphere,circle_3d,diameter_3d,ellipse,location,model_confidence,theta,phi,interpolated
-796037.515616,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.39043587806590213, 0.52842883027854]",56.68686601393439,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.2098575510976834, -0.435162378072385, 33.246959477848065], 'normal': [-0.40676284079033176, -0.38555075733386796, -0.8281875420890248], 'radius': 2.971316923911456}",5.9439017976154105,"{'center': [74.96368858865321, 90.54166458652033], 'axes': [47.37185225417469, 56.6574257013758], 'angle': 41.08921869742525}","[74.96368858865321, 90.54166458652033]",1.0,1.9666009811241154,-2.027337472619771,0
-796037.507101,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.39075919040101104, 0.5292871431709507]",56.6473492612146,0.9977654814720154,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.2025339619577418, -0.452513583310858, 33.251461896697506], 'normal': [-0.40605812809676856, -0.38722037783640073, -0.8277542966332362], 'radius': 2.958312617259215}",5.940812390522219,"{'center': [75.02576455699412, 90.37686851117748], 'axes': [47.147297288060855, 56.41554339259123], 'angle': 41.2907426946361}","[75.02576455699412, 90.37686851117748]",1.0,1.9684111873839698,-2.0268585686327683,0
-796037.493117,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.39085270751062345, 0.5298527144207024]",56.5955504994939,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.2009639948073527, -0.4646278084828257, 33.25636880530356], 'normal': [-0.4059070579372859, -0.3883860696970773, -0.8272821291324709], 'radius': 2.963853297681486}",5.936630340276494,"{'center': [75.0437198420397, 90.26827883122516], 'axes': [47.20016368513763, 56.51035387505476], 'angle': 41.405806747893564}","[75.0437198420397, 90.26827883122516]",1.0,1.969675849016927,-2.0269370500763317,0
-796037.4873490001,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.39065862858213113, 0.5302098771526627]",56.53045185189159,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.205284340393286, -0.47210729016988573, 33.26200618546309], 'normal': [-0.40632278338512434, -0.3891057831579811, -0.8267396719736989], 'radius': 2.9655220474313437}",5.931261519073685,"{'center': [75.00645668776917, 90.19970358668878], 'axes': [47.18828197080255, 56.53452337529662], 'angle': 41.43946201706291}","[75.00645668776917, 90.19970358668878]",1.0,1.9704570042745289,-2.0276015866863615,0
-796037.482573,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.39017284218089704, 0.5309660207664368]",56.45120532876324,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.216190364691501, -0.4880821642989259, 33.274916297439596], 'normal': [-0.40737221606251817, -0.3906429661377598, -0.8254973958695485], 'radius': 2.972154257882605}",5.92462540035255,"{'center': [74.91318569873224, 90.05452401284413], 'axes': [47.20318704126837, 56.64091069999548], 'angle': 41.499102994274324}","[74.91318569873224, 90.05452401284413]",1.0,1.9721262806147695,-2.029219956841702,0
-796037.475628,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.38963707323387936, 0.5312416604811925]",56.35719085852756,0.9944556951522827,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.227639493718641, -0.49360167055087256, 33.28319164835438], 'normal': [-0.4084739090168192, -0.39117408087448563, -0.8247010998564999], 'radius': 2.970803251886447}",5.916659939439985,"{'center': [74.81031806090483, 90.00160118761106], 'axes': [47.12705820131101, 56.60788290422484], 'angle': 41.46587793287128}","[74.81031806090483, 90.00160118761106]",1.0,1.972703309848096,-2.03067634011559,0
-796037.467256,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.3893446742920827, 0.5315870357395633]",56.24807181025076,0.9993953108787537,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.2333565972253675, -0.5000875895989978, 33.2891061434417], 'normal': [-0.4090240375582514, -0.39179818872588185, -0.8241319773013692], 'radius': 2.9583482048875402}",5.907326225422677,"{'center': [74.75417746407987, 89.93528913800382], 'axes': [46.89995198701131, 56.37571284541913], 'angle': 41.48132062722975}","[74.75417746407987, 89.93528913800382]",1.0,1.973381552314041,-2.0314867006040442,0
-796037.455981,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.389397333716721, 0.5319379117688776]",56.12383997149216,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.2321498094444134, -0.5072505428575882, 33.29191606402007], 'normal': [-0.4089079143498867, -0.3924874442245551, -0.8238615925676486], 'radius': 2.9547628226227443}",5.896612113851111,"{'center': [74.76428807361043, 89.86792094037548], 'axes': [46.82815330762343, 56.307359166388935], 'angle': 41.550592752159126}","[74.76428807361043, 89.86792094037548]",1.0,1.9741308210007937,-2.031504299973489,0
-796037.449817,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.38937460376176225, 0.5318633498704353]",55.9848455770552,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.232482063428219, -0.5055502303608588, 33.29127114306639], 'normal': [-0.4089398855043849, -0.39232383157827294, -0.823923650115351], 'radius': 2.952083076970105}",5.884534482206464,"{'center': [74.75992392225835, 89.88223682487643], 'axes': [46.79177933344852, 56.25949178425673], 'angle': 41.533923803300524}","[74.75992392225835, 89.88223682487643]",1.0,1.9739529410028882,-2.031505439410335,0
-796037.443737,1,pupil.1.3d,pye3d 0.3.0 real-time,"[0.38942984482288384, 0.5316522031407886]",55.83181084775699,1.0,"{'center': [2.017345890181746, 3.5715986255211245, 41.853736884410736], 'radius': 10.392304845413264}","{'center': [109.49812664011793, 120.07019487547953], 'axes': [168.16695029302, 168.16695029302], 'angle': 0.0}","{'center': [-2.231094256337946, -0.5010042113326376, 33.2884194673683], 'normal': [-0.4088063437048595, -0.39188639069332554, -0.8241980527373397], 'radius': 2.9490564214446082}",5.871140113072819,"{'center': [74.7705302059937, 89.92277699696858], 'axes': [46.76461080559094, 56.20767971566515], 'angle': 41.50514048654518}","[74.7705302059937, 89.92277699696858]",1.0,1.9734774206414416,-2.031242820204717,0
